Subject ID,feature value,Dataset
1552763,0.11206494,train
1839331,-0.15153186,train
2003842,0.07409804,train
3044426,-0.048245393,train
1489215,0.15416633,train
3266529,-0.05245287,train
2596216,-0.122348346,train
4679806,-0.12756424,train
4569771,0.08127668,train
3235454,-0.074000105,train
3457700,0.022558646,train
5591391,0.14925559,train
4798299,0.09373669,train
1927727,-0.1515587,train
5105882,-0.10857497,train
3572827,-0.15105347,train
1785281,0.011620893,train
2447075,0.039624147,train
1293258,0.11835919,train
5341594,-0.13505687,train
1097311,0.06760901,train
1975340,0.039050587,train
4244658,-0.15038763,train
1076044,-0.1394566,train
1072521,0.030693531,train
3080426,0.14074174,train
4440115,0.100313544,train
1957072,0.09796724,train
5126466,0.04807672,train
1721857,0.089641705,train
2017531,0.124340884,train
1288113,0.08603261,train
3184623,-0.13713539,train
1730708,0.06471191,train
4374158,-0.0026759591,train
4172057,0.07974005,train
2608041,0.018815713,train
2188348,0.0070230947,train
1686245,-0.1515587,train
3074551,0.12834913,train
3693282,-0.14328842,train
3273992,0.1336827,train
3608796,0.12130765,train
2787960,0.05591894,train
3337168,0.049138546,train
3240193,-0.01692466,train
3089806,0.09946504,train
5349055,0.053936668,train
3220414,0.011291904,train
5404470,0.14213479,train
3340247,0.077378795,train
1575360,0.121771544,train
3668247,-0.15084971,train
5580413,0.06422606,train
1868617,0.02994784,train
5549927,-0.1515587,train
2528948,-0.0472348,train
1943654,-0.1515587,train
2763951,0.054323267,train
2555038,-0.041246563,train
4742043,0.109651044,train
2529470,0.06447694,train
1074267,-0.01003974,train
1243677,-0.010118593,train
4914602,0.09005615,train
5071644,0.108261734,train
4221998,0.057686787,train
4636078,0.11848407,train
4755480,-0.12015336,train
5543470,0.010922148,train
4006273,0.1329162,train
5235772,-0.0070794374,train
5111717,0.063966766,train
